ProductID,ProductName,Category,SupplierID,SupplierName,gross_sales,discount_amount,net_sales,gross_profit,units,records,gross_margin_pct,discount_pct,expected_units,fulfilled_units,estimated_lost_units,estimated_lost_sales,estimated_lost_gp,stockout_hours,inventory_records,late_delivery_days,ordered_units,received_units,availability_pct,lost_sales_share_pct,cumulative_lost_sales_pct
PR018,Cheddar cheese block 700 g,Chilled Dairy,SUP002,North Coast Cold Stores,5127910.260000,76137.820000,5051772.440000,809853.520000,47058,953,0.160311,0.014848,49087.000000,47178.000000,1405.000000,147659.890000,21055.340000,3598.600000,936.000000,313.000000,55510.000000,46455.000000,0.961110,0.215523,0.215523
PR015,Full-cream fresh milk 2 L,Chilled Dairy,SUP002,North Coast Cold Stores,2935825.200000,45928.230000,2889896.970000,632988.280000,78498,949,0.219035,0.015644,81796.000000,78650.000000,2322.000000,83808.030000,17073.750000,3549.000000,936.000000,316.000000,92528.000000,77381.000000,0.961538,0.122325,0.337848
PR019,Mature cheddar 400 g,Chilled Dairy,SUP002,North Coast Cold Stores,2424587.880000,34977.930000,2389609.950000,494830.970000,30228,953,0.207076,0.014426,31482.000000,30260.000000,893.000000,69407.410000,13460.960000,3539.800000,936.000000,311.000000,35603.000000,29779.000000,0.961184,0.101306,0.439155
PR017,Plain cultured yoghurt 1 kg,Chilled Dairy,SUP002,North Coast Cold Stores,2366216.250000,34725.650000,2331490.600000,558622.580000,48045,955,0.239599,0.014676,50081.000000,48200.000000,1382.000000,65810.520000,14842.360000,3450.200000,936.000000,303.000000,56666.000000,47495.000000,0.962441,0.096056,0.535211
PR016,Low-fat fresh milk 2 L,Chilled Dairy,SUP002,North Coast Cold Stores,2178675.000000,33693.330000,2144981.670000,426307.500000,57500,951,0.198746,0.015465,59828.000000,57563.000000,1667.000000,60877.500000,11100.880000,3480.200000,936.000000,301.000000,67640.000000,56666.000000,0.962141,0.088856,0.624067
PR022,Strawberry yoghurt 6 pack,Chilled Dairy,SUP002,North Coast Cold Stores,1867388.760000,27801.840000,1839586.920000,529662.500000,43347,951,0.287925,0.014888,45073.000000,43383.000000,1242.000000,51510.930000,13990.110000,3468.600000,936.000000,311.000000,51030.000000,42666.000000,0.962505,0.075185,0.699252
PR004,Long-grain rice 2 kg,Pantry Staples,SUP008,Estuary Import Merchants,3866395.710000,131650.700000,3734745.010000,771392.300000,54897,950,0.206545,0.034050,55465.000000,54999.000000,320.000000,21908.060000,4634.460000,854.200000,936.000000,87.000000,60507.000000,53922.000000,0.991598,0.031977,0.731229
PR026,Cottage cheese 250 g,Chilled Dairy,SUP002,North Coast Cold Stores,672969.800000,9347.280000,663622.520000,204198.400000,21310,734,0.307703,0.013890,21939.000000,21320.000000,456.000000,13949.120000,4131.440000,1901.700000,728.000000,222.000000,24915.000000,20982.000000,0.971785,0.020360,0.751589
PR001,White maize meal 5 kg,Pantry Staples,SUP001,Karoo Milling Cooperative,5937526.400000,206751.020000,5730775.380000,1287857.240000,70018,955,0.224727,0.034821,70371.000000,70178.000000,135.000000,11013.090000,2452.740000,283.700000,936.000000,61.000000,74237.000000,68995.000000,0.997257,0.016075,0.767664
PR038,Laundry powder 3 kg,Household Care,SUP004,Highveld Homecare Works,4033142.750000,122338.950000,3910803.800000,980487.070000,36715,947,0.250712,0.030333,36855.000000,36734.000000,87.000000,9445.120000,2500.780000,311.100000,936.000000,80.000000,38722.000000,36263.000000,0.996717,0.013786,0.781450
