PromotionName,Region,Category,gross_sales,discount_amount,net_sales,gross_profit,units,records,gross_margin_pct,discount_pct,promotion_flag
Cold Basket Event,KwaZulu-Natal,Chilled Dairy,1052065.540000,124834.930000,927230.610000,116297.700000,18431,401,0.125425,0.118657,True
Easter Basket,Eastern Cape,Chilled Dairy,144986.830000,15497.500000,129489.330000,17981.330000,2581,69,0.138863,0.106889,True
Easter Basket,Eastern Cape,Snacks & Drinks,113933.870000,12138.960000,101794.910000,25569.190000,3184,95,0.251183,0.106544,True
Easter Basket,Gauteng,Chilled Dairy,505656.360000,52774.000000,452882.360000,63205.430000,8934,141,0.139563,0.104367,True
Easter Basket,Gauteng,Snacks & Drinks,372226.290000,38345.910000,333880.380000,85334.210000,10522,194,0.255583,0.103018,True
Easter Basket,KwaZulu-Natal,Chilled Dairy,294040.720000,30164.410000,263876.310000,36833.210000,5173,99,0.139585,0.102586,True
Easter Basket,KwaZulu-Natal,Snacks & Drinks,209218.050000,21506.600000,187711.450000,48063.930000,5916,146,0.256052,0.102795,True
Easter Basket,Western Cape,Chilled Dairy,338678.320000,35845.190000,302833.130000,41617.610000,5972,104,0.137428,0.105838,True
Easter Basket,Western Cape,Snacks & Drinks,265703.420000,28026.630000,237676.790000,60541.500000,7567,142,0.254722,0.105481,True
Month-end Essentials,Eastern Cape,Breakfast,725749.940000,67332.630000,658417.310000,160241.120000,13244,489,0.243373,0.092777,True
Month-end Essentials,Eastern Cape,Pantry Staples,1337847.560000,122005.550000,1215842.010000,233957.330000,26289,667,0.192424,0.091195,True
Month-end Essentials,Gauteng,Breakfast,2474167.150000,228623.710000,2245543.440000,545754.260000,44724,997,0.243039,0.092404,True
Month-end Essentials,Gauteng,Pantry Staples,4033098.960000,371044.570000,3662054.390000,706054.480000,79486,1352,0.192803,0.092000,True
Month-end Essentials,KwaZulu-Natal,Breakfast,1320932.350000,120586.460000,1200345.890000,291493.230000,23849,711,0.242841,0.091289,True
Month-end Essentials,KwaZulu-Natal,Pantry Staples,2223326.490000,204007.850000,2019318.640000,389263.670000,43611,1003,0.192770,0.091758,True
Month-end Essentials,Western Cape,Breakfast,1569659.030000,143079.330000,1426579.700000,347991.570000,28488,727,0.243934,0.091153,True
Month-end Essentials,Western Cape,Pantry Staples,2626945.660000,241734.420000,2385211.240000,458111.790000,51323,1012,0.192063,0.092021,True
No promotion,Eastern Cape,Breakfast,1360000.180000,0.000000,1360000.180000,426352.110000,24910,1016,0.313494,0.000000,False
No promotion,Eastern Cape,Chilled Dairy,2665315.270000,0.000000,2665315.270000,610567.040000,47096,1563,0.229079,0.000000,False
No promotion,Eastern Cape,Household Care,1835075.110000,0.000000,1835075.110000,595638.200000,35762,1777,0.324585,0.000000,False
No promotion,Eastern Cape,Pantry Staples,2484981.310000,0.000000,2484981.310000,659963.860000,48761,1368,0.265581,0.000000,False
No promotion,Eastern Cape,Personal Care,1252641.200000,0.000000,1252641.200000,462299.380000,25090,1474,0.369060,0.000000,False
No promotion,Eastern Cape,Snacks & Drinks,2052507.990000,0.000000,2052507.990000,682857.220000,57946,2217,0.332694,0.000000,False
No promotion,Gauteng,Breakfast,4649828.820000,0.000000,4649828.820000,1455023.980000,83924,2026,0.312920,0.000000,False
No promotion,Gauteng,Chilled Dairy,9760545.060000,0.000000,9760545.060000,2232555.340000,172872,3161,0.228733,0.000000,False
No promotion,Gauteng,Household Care,4583936.090000,0.000000,4583936.090000,1484930.790000,88896,2641,0.323942,0.000000,False
No promotion,Gauteng,Pantry Staples,7447027.200000,0.000000,7447027.200000,1986433.640000,146892,2781,0.266742,0.000000,False
No promotion,Gauteng,Personal Care,3074881.590000,0.000000,3074881.590000,1136386.690000,62466,2231,0.369571,0.000000,False
No promotion,Gauteng,Snacks & Drinks,6841546.420000,0.000000,6841546.420000,2275668.660000,193688,4371,0.332625,0.000000,False
No promotion,KwaZulu-Natal,Breakfast,2468503.960000,0.000000,2468503.960000,770400.830000,44661,1451,0.312092,0.000000,False
No promotion,KwaZulu-Natal,Chilled Dairy,4689676.030000,0.000000,4689676.030000,1072547.820000,82737,1926,0.228704,0.000000,False
No promotion,KwaZulu-Natal,Household Care,3325643.000000,0.000000,3325643.000000,1078551.880000,65248,2602,0.324314,0.000000,False
No promotion,KwaZulu-Natal,Pantry Staples,4120629.550000,0.000000,4120629.550000,1094261.520000,80339,2058,0.265557,0.000000,False
No promotion,KwaZulu-Natal,Personal Care,2302293.810000,0.000000,2302293.810000,849534.920000,46960,2238,0.368995,0.000000,False
No promotion,KwaZulu-Natal,Snacks & Drinks,3751525.380000,0.000000,3751525.380000,1245854.510000,106579,3272,0.332093,0.000000,False
No promotion,Western Cape,Breakfast,2916463.810000,0.000000,2916463.810000,911012.650000,52912,1472,0.312369,0.000000,False
No promotion,Western Cape,Chilled Dairy,6436134.910000,0.000000,6436134.910000,1472915.940000,114169,2383,0.228851,0.000000,False
No promotion,Western Cape,Household Care,4166857.710000,0.000000,4166857.710000,1349471.820000,80279,2712,0.323858,0.000000,False
No promotion,Western Cape,Pantry Staples,4917856.190000,0.000000,4917856.190000,1309472.250000,96453,2095,0.266269,0.000000,False
No promotion,Western Cape,Personal Care,2765653.680000,0.000000,2765653.680000,1020775.230000,56291,2261,0.369090,0.000000,False
No promotion,Western Cape,Snacks & Drinks,4907069.550000,0.000000,4907069.550000,1633073.990000,138850,3280,0.332800,0.000000,False
Store Manager Markdown,Eastern Cape,Breakfast,127540.890000,8767.170000,118773.720000,31261.330000,2270,86,0.263201,0.068740,True
Store Manager Markdown,Eastern Cape,Chilled Dairy,227230.030000,16330.310000,210899.720000,35907.010000,4078,133,0.170256,0.071867,True
Store Manager Markdown,Eastern Cape,Household Care,162779.720000,12852.830000,149926.890000,41232.860000,3287,155,0.275020,0.078958,True
Store Manager Markdown,Eastern Cape,Pantry Staples,260726.460000,19299.840000,241426.620000,50041.060000,4920,129,0.207272,0.074023,True
Store Manager Markdown,Eastern Cape,Personal Care,120477.480000,8718.670000,111758.810000,35435.410000,2442,136,0.317070,0.072368,True
Store Manager Markdown,Eastern Cape,Snacks & Drinks,186459.510000,13869.940000,172589.570000,48588.640000,5386,190,0.281527,0.074386,True
Store Manager Markdown,Gauteng,Breakfast,472885.070000,34236.420000,438648.650000,114281.350000,8547,200,0.260530,0.072399,True
Store Manager Markdown,Gauteng,Chilled Dairy,997702.870000,73834.720000,923868.150000,154691.520000,18162,302,0.167439,0.074005,True
Store Manager Markdown,Gauteng,Household Care,385591.130000,28836.840000,356754.290000,97580.690000,7440,210,0.273524,0.074786,True
Store Manager Markdown,Gauteng,Pantry Staples,805988.550000,59225.550000,746763.000000,151255.860000,14824,257,0.202549,0.073482,True
Store Manager Markdown,Gauteng,Personal Care,294556.840000,21355.080000,273201.760000,86982.100000,5936,196,0.318380,0.072499,True
Store Manager Markdown,Gauteng,Snacks & Drinks,662856.840000,48103.490000,614753.350000,170282.910000,18804,396,0.276994,0.072570,True
Store Manager Markdown,KwaZulu-Natal,Breakfast,271773.140000,19665.240000,252107.900000,65058.230000,4888,151,0.258057,0.072359,True
Store Manager Markdown,KwaZulu-Natal,Chilled Dairy,497527.270000,37918.350000,459608.920000,74767.660000,8512,185,0.162677,0.076214,True
Store Manager Markdown,KwaZulu-Natal,Household Care,321153.210000,23239.030000,297914.180000,81434.300000,6463,247,0.273348,0.072361,True
Store Manager Markdown,KwaZulu-Natal,Pantry Staples,389223.700000,28053.480000,361170.220000,77452.510000,8101,204,0.214449,0.072075,True
Store Manager Markdown,KwaZulu-Natal,Personal Care,190581.200000,13662.470000,176918.730000,56861.410000,3984,180,0.321398,0.071688,True
Store Manager Markdown,KwaZulu-Natal,Snacks & Drinks,351140.470000,25515.730000,325624.740000,92324.130000,9980,287,0.283529,0.072665,True
Store Manager Markdown,Western Cape,Breakfast,330487.560000,24597.420000,305890.140000,79365.460000,5995,158,0.259457,0.074428,True
Store Manager Markdown,Western Cape,Chilled Dairy,563881.360000,39990.880000,523890.480000,90397.170000,10392,205,0.172550,0.070921,True
Store Manager Markdown,Western Cape,Household Care,329097.200000,23602.580000,305494.620000,83703.850000,6508,211,0.273995,0.071719,True
Store Manager Markdown,Western Cape,Pantry Staples,465086.640000,33364.770000,431721.870000,90828.560000,9016,184,0.210387,0.071739,True
Store Manager Markdown,Western Cape,Personal Care,242943.920000,18253.840000,224690.080000,71207.940000,4747,179,0.316916,0.075136,True
Store Manager Markdown,Western Cape,Snacks & Drinks,481476.330000,36014.990000,445461.340000,122473.650000,13731,313,0.274937,0.074801,True
Winter Price Lock,Gauteng,Household Care,2377847.210000,479930.070000,1897917.140000,294871.180000,46432,1054,0.155366,0.201834,True
Winter Price Lock,Gauteng,Personal Care,1579682.140000,315903.880000,1263778.260000,267590.580000,31994,890,0.211739,0.199979,True
