Region,SupplierID,SupplierName,Category,expected_units,fulfilled_units,estimated_lost_units,estimated_lost_sales,estimated_lost_gp,stockout_hours,inventory_records,late_delivery_days,ordered_units,received_units,availability_pct
KwaZulu-Natal,SUP002,North Coast Cold Stores,Chilled Dairy,81138,74171,5131,264682.190000,46562.650000,10720.600000,1560,877,98799,72771,0.914134
Eastern Cape,SUP002,North Coast Cold Stores,Chilled Dairy,38146,33857,3155,170809.210000,37160.570000,9975.200000,1040,705,46798,33229,0.887564
Gauteng,SUP002,North Coast Cold Stores,Chilled Dairy,133044,131987,778,41268.570000,8349.510000,1445.700000,2132,307,144211,130060,0.992055
Western Cape,SUP002,North Coast Cold Stores,Chilled Dairy,86958,86539,303,16263.430000,3582.110000,846.600000,1612,188,94084,85364,0.995182
Eastern Cape,SUP008,Estuary Import Merchants,Pantry Staples,12595,12313,188,9808.990000,2126.750000,650.100000,312,26,14020,12028,0.977610
Gauteng,SUP004,Highveld Homecare Works,Household Care,66507,66258,168,9386.210000,2624.060000,564.000000,1560,205,70123,65448,0.996256
KwaZulu-Natal,SUP008,Estuary Import Merchants,Pantry Staples,20664,20418,170,8886.880000,2110.520000,519.900000,468,58,22426,20051,0.988095
Gauteng,SUP007,Midlands Fresh Logistics,Chilled Dairy,53076,52917,121,7889.350000,1693.480000,267.500000,936,96,56264,52080,0.997004
Western Cape,SUP005,Lowveld Personal Care,Personal Care,38227,38035,138,7266.350000,2635.070000,680.400000,1404,174,40648,37424,0.994977
KwaZulu-Natal,SUP005,Lowveld Personal Care,Personal Care,31885,31723,120,6440.290000,2327.230000,745.200000,1404,180,33854,31171,0.994919
Gauteng,SUP005,Lowveld Personal Care,Personal Care,62317,62135,128,6387.890000,1983.750000,522.200000,1872,156,66082,61276,0.997079
KwaZulu-Natal,SUP004,Highveld Homecare Works,Household Care,34102,33962,103,6137.270000,1869.850000,481.900000,1170,70,35552,33468,0.995895
Gauteng,SUP001,Karoo Milling Cooperative,Pantry Staples,45672,45554,82,5399.500000,1167.680000,166.900000,624,44,48736,44775,0.997416
Gauteng,SUP008,Estuary Import Merchants,Pantry Staples,37498,37348,104,5335.260000,1200.940000,274.300000,624,44,40911,36704,0.996000
Eastern Cape,SUP007,Midlands Fresh Logistics,Chilled Dairy,15454,15352,78,5314.390000,1190.050000,316.400000,468,39,16320,15157,0.993400
Gauteng,SUP011,Savanna Brand Partners,Snacks & Drinks,91205,90919,201,5171.490000,1930.780000,533.900000,1872,192,97150,89701,0.996864
KwaZulu-Natal,SUP006,Drakensberg Breakfast Foods,Breakfast,52363,52228,101,5052.270000,1387.590000,384.800000,1404,150,54810,51476,0.997422
Western Cape,SUP007,Midlands Fresh Logistics,Chilled Dairy,34543,34438,75,4866.640000,1080.540000,236.100000,702,42,36437,33922,0.996960
Eastern Cape,SUP005,Lowveld Personal Care,Personal Care,17391,17277,91,4800.260000,1742.220000,638.400000,936,78,18283,16977,0.993445
KwaZulu-Natal,SUP007,Midlands Fresh Logistics,Chilled Dairy,32573,32475,74,4636.900000,971.600000,220.200000,702,30,34375,31855,0.996991
Western Cape,SUP008,Estuary Import Merchants,Pantry Staples,24402,24281,88,4556.340000,1022.660000,257.000000,468,46,26501,23794,0.995041
Eastern Cape,SUP001,Karoo Milling Cooperative,Pantry Staples,15592,15496,65,4443.170000,1095.760000,193.000000,312,36,16465,15237,0.993843
Eastern Cape,SUP004,Highveld Homecare Works,Household Care,18529,18440,73,4221.780000,1280.620000,359.300000,780,75,19413,18091,0.995197
KwaZulu-Natal,SUP010,Bayline Household Supply,Household Care,19031,18857,123,4140.420000,1386.600000,578.100000,702,93,20241,18553,0.990857
Western Cape,SUP011,Savanna Brand Partners,Snacks & Drinks,65658,65456,149,3921.570000,1478.740000,476.200000,1404,126,69184,64433,0.996923
Gauteng,SUP006,Drakensberg Breakfast Foods,Breakfast,95037,94932,74,3622.040000,948.360000,206.900000,1872,168,99496,93628,0.998895
Gauteng,SUP011,Savanna Brand Partners,Pantry Staples,34800,34703,65,3591.830000,918.270000,160.500000,624,64,36923,34111,0.997213
Eastern Cape,SUP006,Drakensberg Breakfast Foods,Breakfast,28293,28205,71,3501.150000,979.350000,317.600000,936,36,29399,27739,0.996890
KwaZulu-Natal,SUP012,Peninsula Ambient Foods,Pantry Staples,49163,49036,95,3276.080000,720.470000,252.600000,1170,50,50584,48222,0.997417
Eastern Cape,SUP012,Peninsula Ambient Foods,Pantry Staples,29950,29832,83,3195.460000,688.110000,309.200000,780,45,30877,29328,0.996060
Eastern Cape,SUP011,Savanna Brand Partners,Snacks & Drinks,27200,27037,119,3125.990000,1179.130000,578.500000,936,66,28492,26604,0.994007
Gauteng,SUP009,Stellenridge Beverage Co.,Snacks & Drinks,59665,59549,81,3086.980000,908.270000,234.800000,1248,48,61583,58759,0.998056
Eastern Cape,SUP011,Savanna Brand Partners,Pantry Staples,11417,11338,56,3042.350000,823.390000,210.000000,312,22,11996,11165,0.993080
KwaZulu-Natal,SUP011,Savanna Brand Partners,Snacks & Drinks,50474,50322,116,2964.640000,1118.940000,392.600000,1404,72,53111,49549,0.996989
KwaZulu-Natal,SUP001,Karoo Milling Cooperative,Pantry Staples,25597,25540,42,2852.990000,673.670000,122.900000,468,30,26737,25043,0.997773
