WeekStartDate,Region,expected_units,fulfilled_units,estimated_lost_units,estimated_lost_sales,estimated_lost_gp,stockout_hours,inventory_records,late_delivery_days,ordered_units,received_units,availability_pct,week_label
2026-02-23,Eastern Cape,9864,9836,20,829.130000,247.570000,108.900000,334,44,6231,5822,0.997161,23 Feb
2026-02-23,Gauteng,32066,32062,4,200.810000,45.220000,7.000000,670,62,21352,19770,0.999875,23 Feb
2026-02-23,KwaZulu-Natal,18164,18150,12,581.760000,134.200000,50.000000,501,51,11227,10439,0.999229,23 Feb
2026-02-23,Western Cape,21250,21244,4,236.400000,40.920000,16.500000,503,36,14101,13173,0.999718,23 Feb
2026-03-02,Eastern Cape,9442,9345,72,3775.390000,892.160000,297.000000,334,56,9688,8934,0.989727,02 Mar
2026-03-02,Gauteng,31269,31218,36,2074.270000,609.910000,128.300000,670,40,32606,30543,0.998369,02 Mar
2026-03-02,KwaZulu-Natal,17227,17148,58,2668.520000,681.660000,186.200000,501,37,17752,16434,0.995414,02 Mar
2026-03-02,Western Cape,20730,20701,21,1021.620000,273.190000,79.200000,503,21,21472,20222,0.998601,02 Mar
2026-03-09,Eastern Cape,9513,9456,40,1904.570000,529.850000,223.900000,334,20,10190,9518,0.994008,09 Mar
2026-03-09,Gauteng,31099,31009,66,2639.470000,818.330000,161.400000,670,104,33075,30374,0.997106,09 Mar
2026-03-09,KwaZulu-Natal,17491,17450,33,1798.900000,486.340000,114.700000,501,46,18795,17595,0.997656,09 Mar
2026-03-09,Western Cape,20635,20528,77,3585.990000,1119.980000,335.100000,503,66,21832,20234,0.994815,09 Mar
2026-03-16,Eastern Cape,9402,9345,41,1630.670000,479.740000,206.700000,334,28,9988,9218,0.993937,16 Mar
2026-03-16,Gauteng,31151,31084,47,2154.240000,647.830000,150.000000,670,45,33783,31422,0.997849,16 Mar
2026-03-16,KwaZulu-Natal,17418,17360,46,2302.860000,626.830000,167.400000,501,31,18569,17444,0.996670,16 Mar
2026-03-16,Western Cape,21112,21043,51,2348.840000,772.290000,211.300000,503,28,22749,21198,0.996732,16 Mar
2026-03-23,Eastern Cape,9947,9903,35,1685.690000,409.360000,163.200000,334,15,10805,10116,0.995577,23 Mar
2026-03-23,Gauteng,32492,32428,43,2331.770000,493.720000,118.800000,670,36,35225,32807,0.998030,23 Mar
2026-03-23,KwaZulu-Natal,18107,18079,23,1061.050000,298.960000,97.900000,501,18,19372,18214,0.998454,23 Mar
2026-03-23,Western Cape,22005,21944,43,2078.170000,601.350000,168.400000,503,48,23796,22054,0.997228,23 Mar
2026-03-30,Eastern Cape,10804,10764,30,1419.400000,397.290000,179.200000,334,14,11687,11019,0.996298,30 Mar
2026-03-30,Gauteng,35795,35474,232,10788.290000,1744.090000,468.500000,670,109,39159,35974,0.991032,30 Mar
2026-03-30,KwaZulu-Natal,20272,20190,61,2887.340000,648.310000,218.000000,501,32,22032,20504,0.995955,30 Mar
2026-03-30,Western Cape,23834,23798,26,1052.400000,212.940000,83.100000,503,32,26058,24302,0.998490,30 Mar
2026-04-06,Eastern Cape,9600,9545,44,2534.770000,630.270000,183.400000,334,26,9894,9269,0.994271,06 Apr
2026-04-06,Gauteng,30996,30710,209,10465.870000,2523.270000,475.500000,670,163,32351,29368,0.990773,06 Apr
2026-04-06,KwaZulu-Natal,17517,17433,59,2795.670000,794.180000,248.200000,501,36,18159,16887,0.995205,06 Apr
2026-04-06,Western Cape,21207,21173,24,1232.920000,367.180000,96.200000,503,25,22130,20637,0.998397,06 Apr
2026-04-13,Eastern Cape,9627,9535,65,2799.930000,769.000000,311.000000,334,39,10211,9491,0.990444,13 Apr
2026-04-13,Gauteng,31577,31521,39,2133.960000,590.710000,117.000000,670,53,34604,32066,0.998227,13 Apr
