StoreID,StoreName,Region,StoreFormat,gross_sales,discount_amount,net_sales,gross_profit,units,records,gross_margin_pct,discount_pct,expected_units,fulfilled_units,estimated_lost_units,estimated_lost_sales,estimated_lost_gp,stockout_hours,inventory_records,late_delivery_days,ordered_units,received_units,availability_pct,sales_target,target_attainment_pct
ST025,Morrowfield Durban North,KwaZulu-Natal,Neighbourhood,2483657.400000,58217.950000,2425439.450000,659932.460000,51265,1740,0.272088,0.023440,47251,45653,1185,60009.280000,12144.110000,3066.800000,1430,196,49644,44598,0.966181,2537121.810000,0.955981
ST022,Morrowfield Umhlanga,KwaZulu-Natal,Neighbourhood,2667972.500000,62421.250000,2605551.250000,707515.050000,54868,1691,0.271541,0.023397,50937,49536,1031,52940.670000,10426.210000,2514.300000,1430,149,53422,48385,0.972495,2723897.820000,0.956552
ST036,Morrowfield Makhanda,Eastern Cape,Neighbourhood,1872982.640000,36942.830000,1836039.810000,506749.160000,38688,1707,0.276001,0.019724,35816,34551,949,50184.930000,11864.570000,3727.500000,1430,184,37267,33744,0.964681,1933686.190000,0.949502
ST023,Morrowfield Ballito Junction,KwaZulu-Natal,Food Hall,4091343.930000,92933.940000,3998409.990000,1109308.620000,83344,2030,0.277437,0.022715,69305,68039,934,48737.040000,9410.400000,1589.100000,1456,298,75884,67313,0.981733,4175086.390000,0.957683
ST033,Morrowfield Mthatha Plaza,Eastern Cape,Neighbourhood,1634988.660000,32827.890000,1602160.770000,442386.860000,33756,1712,0.276119,0.020078,31278,30049,911,47274.640000,11310.700000,4090.300000,1430,216,32551,29373,0.960707,1695553.270000,0.944919
ST032,Morrowfield Beacon Bay,Eastern Cape,Market,2758069.470000,51173.330000,2706896.140000,760744.970000,55947,2034,0.281040,0.018554,46571,45617,695,36865.820000,8177.440000,2085.700000,1456,302,50651,44935,0.979515,2848310.880000,0.950351
ST026,Morrowfield Westville,KwaZulu-Natal,Market,3423038.030000,78580.770000,3344457.260000,923053.970000,69537,2035,0.275995,0.022956,57682,56693,723,34431.720000,5969.260000,1460.200000,1456,205,62605,55794,0.982854,3498736.330000,0.955904
ST028,Morrowfield Mount Edgecombe,KwaZulu-Natal,Neighbourhood,1875394.170000,44336.690000,1831057.480000,495098.530000,38354,1683,0.270389,0.023641,35488,34642,628,32555.300000,7390.040000,2459.600000,1430,153,37310,33849,0.976161,1917433.930000,0.954952
ST035,Morrowfield Jeffreys Bay,Eastern Cape,Market,3010231.960000,60189.170000,2950042.790000,825063.670000,61279,2037,0.279679,0.019995,50884,50026,620,32489.340000,7480.990000,1721.700000,1456,192,55132,49297,0.983138,3105007.060000,0.950092
ST004,Morrowfield Centurion East,Gauteng,Neighbourhood,3090866.420000,103363.400000,2987503.020000,790546.390000,63344,1689,0.264618,0.033442,58101,57159,664,32305.050000,8201.730000,1854.100000,1430,160,60309,55890,0.983787,3071074.390000,0.972788
ST034,Morrowfield Newton Park,Eastern Cape,Market,2433878.380000,51386.600000,2382491.780000,663095.200000,49379,2040,0.278320,0.021113,40996,40223,566,29847.140000,6617.400000,1945.900000,1456,198,44317,39639,0.981145,2517178.690000,0.946493
ST029,Morrowfield Amanzimtoti,KwaZulu-Natal,Market,3059113.040000,68662.090000,2990450.950000,815641.230000,61977,1876,0.272749,0.022445,53999,53272,532,26311.070000,4455.460000,1192.000000,1456,202,58525,52388,0.986537,3122865.450000,0.957598
ST030,Morrowfield Richards Bay,KwaZulu-Natal,Market,3702900.870000,85314.590000,3617586.280000,997938.130000,75102,2037,0.275857,0.023040,62023,61295,535,25697.550000,4460.320000,1021.200000,1456,146,66684,60262,0.988262,3773768.250000,0.958614
ST031,Morrowfield Walmer,Eastern Cape,Food Hall,3348102.240000,64293.580000,3283808.660000,919853.230000,68197,2034,0.280118,0.019203,56207,55618,433,22587.830000,5076.380000,1024.500000,1456,170,61238,54847,0.989521,3464177.600000,0.947933
ST014,Morrowfield Claremont,Western Cape,Neighbourhood,2460190.770000,46958.510000,2413232.260000,664013.580000,50590,1692,0.275155,0.019087,46822,46184,473,22010.730000,5789.320000,1590.300000,1456,118,48569,45234,0.986374,2472849.180000,0.975891
ST010,Morrowfield Bryanston,Gauteng,Neighbourhood,2815212.230000,95695.310000,2719516.920000,718283.050000,57748,1693,0.264122,0.033992,52745,52145,435,20995.830000,4689.330000,1268.400000,1430,82,54691,51009,0.988625,2814581.130000,0.966224
ST024,Morrowfield Hillcrest,KwaZulu-Natal,Market,2786827.550000,68690.890000,2718136.660000,745517.690000,56409,2029,0.274275,0.024648,46789,46292,360,18843.070000,3434.580000,1067.000000,1456,189,50565,45536,0.989378,2847897.880000,0.954436
ST027,Morrowfield Pietermaritzburg,KwaZulu-Natal,Food Hall,3689006.380000,89996.380000,3599010.000000,986995.780000,74576,2040,0.274241,0.024396,61318,60914,292,15646.140000,3204.330000,586.700000,1456,212,66962,60214,0.993411,3748932.940000,0.960009
ST017,Morrowfield Paarl Main,Western Cape,Neighbourhood,2213392.970000,40495.390000,2172897.580000,597966.430000,45871,1668,0.275193,0.018296,42149,41749,303,14551.060000,3946.200000,1193.300000,1430,65,43422,40752,0.990510,2222988.450000,0.977467
ST007,Morrowfield Midrand West,Gauteng,Market,4627700.600000,165878.780000,4461821.820000,1199627.970000,94474,2036,0.268865,0.035845,77168,76957,155,8485.950000,1899.270000,322.300000,1456,139,81564,75892,0.997266,4588919.640000,0.972303
ST003,Morrowfield Menlyn,Gauteng,Market,4094835.010000,139191.110000,3955643.900000,1066299.040000,83209,2029,0.269564,0.033992,67727,67503,162,8073.230000,1759.250000,320.100000,1456,92,71869,66455,0.996693,4079078.380000,0.969740
ST011,Morrowfield Lynnwood,Gauteng,Market,3722834.320000,125514.740000,3597319.580000,969489.010000,75665,2037,0.269503,0.033715,62007,61844,115,6196.650000,1521.760000,303.000000,1456,193,66104,60887,0.997371,3699498.250000,0.972380
ST018,Morrowfield Table View,Western Cape,Market,3597443.370000,62830.410000,3534612.960000,995933.220000,73489,2032,0.281766,0.017465,60214,60046,115,5451.390000,1464.690000,325.100000,1456,136,63717,59220,0.997210,3602596.660000,0.981129
ST008,Morrowfield Waterfall,Gauteng,Food Hall,5588649.490000,194485.380000,5394164.110000,1452280.190000,113662,2027,0.269232,0.034800,92996,92819,122,5133.220000,1257.690000,195.600000,1456,207,99576,91733,0.998097,5575406.400000,0.967493
ST012,Morrowfield Randpark Ridge,Gauteng,Market,4049187.960000,138812.990000,3910374.970000,1054536.050000,82240,2025,0.269676,0.034282,67073,66930,103,4642.770000,1183.060000,217.000000,1456,131,70990,65967,0.997868,4042308.240000,0.967362
ST009,Morrowfield Irene Link,Gauteng,Market,3764737.070000,130220.650000,3634516.420000,965168.470000,76482,1881,0.265556,0.034590,65779,65673,75,3615.620000,1003.640000,193.700000,1456,120,69555,64701,0.998389,3750988.230000,0.968949
ST001,Morrowfield Rosebank,Gauteng,Market,3259687.440000,108285.290000,3151402.150000,839598.460000,66292,1880,0.266421,0.033220,56917,56837,58,3227.180000,726.480000,150.200000,1456,102,59960,55990,0.998594,3262811.590000,0.965855
ST006,Morrowfield Bedfordview,Gauteng,Market,4626194.520000,153282.530000,4472911.990000,1210702.240000,94077,2031,0.270674,0.033134,76882,76790,64,2545.360000,831.170000,176.300000,1456,130,81321,75767,0.998803,4609425.530000,0.970384
ST016,Morrowfield Stellenbosch,Western Cape,Market,4331876.940000,80598.050000,4251278.890000,1194584.280000,88617,2025,0.280994,0.018606,72467,72398,46,2496.830000,787.220000,149.100000,1456,80,76276,71359,0.999048,4327126.610000,0.982472
ST005,Morrowfield Sandton Village,Gauteng,Food Hall,5981380.650000,203770.640000,5777610.010000,1555605.700000,121451,2036,0.269247,0.034067,99171,99116,40,2229.180000,513.090000,52.500000,1456,112,105482,98130,0.999445,5943188.990000,0.972140
ST021,Morrowfield Tokai,Western Cape,Market,4075251.030000,74688.640000,4000562.390000,1110279.060000,83623,1872,0.277531,0.018327,72056,71991,44,2074.490000,632.450000,115.500000,1456,52,75951,70887,0.999098,4093952.030000,0.977188
ST013,Morrowfield Sea Point,Western Cape,Food Hall,4194435.380000,76893.420000,4117541.960000,1155613.480000,85836,2034,0.280656,0.018332,70545,70493,36,1754.400000,437.260000,82.100000,1456,160,74893,69567,0.999263,4200692.120000,0.980206
ST020,Morrowfield George,Western Cape,Market,3094073.120000,58359.380000,3035713.740000,851647.320000,63330,2041,0.280543,0.018862,51875,51826,35,1744.410000,591.550000,169.000000,1456,101,54786,51083,0.999055,3099363.630000,0.979464
ST019,Morrowfield Somerset West,Western Cape,Food Hall,5109157.440000,97981.750000,5011175.690000,1407730.990000,104391,2038,0.280918,0.019178,85235,85181,34,1584.330000,417.830000,75.400000,1456,138,90248,84286,0.999366,5097275.610000,0.983109
ST015,Morrowfield Durbanville,Western Cape,Food Hall,4248174.270000,85704.500000,4162469.770000,1165192.620000,86946,2036,0.279928,0.020174,71170,71141,19,1068.920000,296.470000,52.300000,1456,146,75763,70398,0.999593,4254017.650000,0.978480
ST002,Morrowfield Fourways Crossing,Gauteng,Food Hall,5698738.880000,193713.420000,5505025.460000,1486747.100000,115899,2036,0.270071,0.033992,94140,94127,9,515.670000,90.040000,14.700000,1456,86,100107,92966,0.999862,5659328.620000,0.972735
