SupplierID,SupplierName,order_count,ordered_units,received_units,late_orders,mean_days_late,fill_rate,on_time_rate,expected_units,fulfilled_units,estimated_lost_units,estimated_lost_sales,estimated_lost_gp,stockout_hours,inventory_records,late_delivery_days,ordered_units_inventory,received_units_inventory,availability_pct,lost_sales_share_pct
SUP002,North Coast Cold Stores,460,123991,106939,98,0.558696,0.862474,0.786957,339286,326554,9367,493023.400000,95654.840000,22988.100000,6344,2077,383892,321424,0.962474,0.719612
SUP011,Savanna Brand Partners,467,127390,118909,41,0.162741,0.933425,0.912206,373911,372611,943,31574.590000,10422.160000,3338.000000,9360,760,395355,367128,0.996523,0.046086
SUP008,Estuary Import Merchants,489,132833,119534,46,0.177914,0.899882,0.905930,95159,94360,550,28587.470000,6460.870000,1701.300000,1872,174,103858,92577,0.991604,0.041726
SUP005,Lowveld Personal Care,476,127295,119104,44,0.205882,0.935653,0.907563,149820,149170,477,24894.790000,8688.270000,2586.200000,5616,588,158867,146848,0.995661,0.036336
SUP007,Midlands Fresh Logistics,477,124842,116649,36,0.144654,0.934373,0.924528,135646,135182,348,22707.280000,4935.670000,1040.200000,2808,207,143396,133014,0.996579,0.033143
SUP004,Highveld Homecare Works,468,125089,118128,41,0.170940,0.944352,0.912393,159761,159216,392,22505.050000,6599.360000,1577.400000,4680,400,167607,157000,0.996589,0.032848
SUP006,Drakensberg Breakfast Foods,486,131985,125460,34,0.141975,0.950563,0.930041,237281,236881,298,14726.550000,4033.070000,1102.900000,5616,414,247752,233590,0.998314,0.021495
SUP001,Karoo Milling Cooperative,491,133946,125448,33,0.124236,0.936557,0.932790,117038,116729,217,14469.190000,3354.540000,549.100000,1872,122,123515,114842,0.997360,0.021119
SUP010,Bayline Household Supply,481,127422,118152,45,0.199584,0.927250,0.906445,88654,88188,338,11288.680000,3734.920000,1590.800000,2808,288,94700,86943,0.994744,0.016477
SUP012,Peninsula Ambient Foods,486,132421,126759,21,0.080247,0.957242,0.956790,225704,225356,250,9164.340000,2063.940000,767.100000,4680,195,232640,221855,0.998458,0.013376
SUP009,Stellenridge Beverage Co.,468,124767,119514,20,0.091880,0.957898,0.957265,152924,152648,195,7328.990000,2198.670000,701.100000,3744,172,157490,150485,0.998195,0.010697
SUP003,Cape Orchard & Press,495,131821,125768,33,0.111111,0.954082,0.933333,114599,114434,126,4853.480000,1315.380000,430.300000,2808,165,118838,112641,0.998560,0.007084
