WeekStartDate,gross_sales,discount_amount,net_sales,gross_profit,units,records,gross_margin_pct,discount_pct,expected_units,fulfilled_units,estimated_lost_units,estimated_lost_sales,estimated_lost_gp,stockout_hours,inventory_records,late_delivery_days,ordered_units,received_units,availability_pct,sales_target,week_label,target_attainment_pct
2026-02-23,4751393.500000,189355.430000,4562038.070000,1198100.660000,96979,2667,0.262624,0.039853,81344,81292,40,1848.100000,467.910000,182.400000,2008,193,52911,49204,0.999361,4716964.680000,23 Feb,0.967155
2026-03-02,4572014.870000,29498.460000,4542516.410000,1310821.420000,93650,2674,0.288567,0.006452,78668,78412,187,9539.800000,2456.920000,690.700000,2008,154,81518,76133,0.996746,4694473.380000,02 Mar,0.967631
2026-03-09,4559487.080000,32902.040000,4526585.040000,1303539.850000,93635,2672,0.287974,0.007216,78738,78443,216,9928.930000,2954.500000,835.100000,2008,236,83892,77721,0.996253,4679842.600000,09 Mar,0.967252
2026-03-16,4564820.140000,30794.460000,4534025.680000,1306534.400000,93887,2675,0.288162,0.006746,79083,78832,185,8436.610000,2526.690000,735.400000,2008,132,85089,79282,0.996826,4686571.780000,16 Mar,0.967450
2026-03-23,4812897.860000,194779.080000,4618118.780000,1211474.930000,98172,2668,0.262331,0.040470,82551,82354,144,7156.680000,1803.390000,548.300000,2008,117,89198,83191,0.997614,4787561.010000,23 Mar,0.964608
2026-03-30,5198882.800000,419194.620000,4779688.180000,1095517.810000,107077,2688,0.229203,0.080632,90705,90226,349,16147.430000,3002.630000,948.800000,2008,187,98936,91799,0.994719,4952577.950000,30 Mar,0.965091
2026-04-06,4598062.330000,30042.670000,4568019.660000,1317945.480000,94275,2673,0.288516,0.006534,79320,78861,336,17029.230000,4314.900000,1003.300000,2008,250,82534,76161,0.994213,4725074.500000,06 Apr,0.966761
2026-04-13,4646901.890000,28195.110000,4618706.780000,1329183.790000,95047,2670,0.287783,0.006068,79980,79735,176,8863.710000,2438.870000,703.700000,2008,148,86239,80319,0.996937,4776141.900000,13 Apr,0.967037
2026-04-20,4607524.100000,29625.630000,4577898.470000,1321718.890000,94494,2677,0.288717,0.006430,79679,79209,338,17038.660000,4517.740000,1005.800000,2008,229,85285,78927,0.994101,4747226.020000,20 Apr,0.964331
2026-04-27,4863697.270000,194397.670000,4669299.600000,1229028.020000,99124,2679,0.263215,0.039969,83000,82801,149,7849.210000,1844.640000,435.700000,2008,126,89854,83529,0.997602,4822639.880000,27 Apr,0.968204
2026-05-04,4743383.680000,34705.120000,4708678.560000,1351906.790000,96757,2669,0.287110,0.007317,81056,80812,180,9497.310000,2376.290000,598.600000,2008,117,86440,80658,0.996990,4876846.770000,04 May,0.965517
2026-05-11,4798664.360000,31433.990000,4767230.370000,1369850.000000,97826,2666,0.287347,0.006551,82090,81838,186,9622.690000,2367.160000,551.100000,2008,152,87953,81700,0.996930,4916101.750000,11 May,0.969718
2026-05-18,4757523.340000,28815.380000,4728707.960000,1364653.510000,96937,2666,0.288589,0.006057,82044,81128,660,35536.580000,8322.370000,2156.300000,2008,203,88786,81033,0.988835,4891226.740000,18 May,0.966773
2026-05-25,5008848.990000,237052.670000,4771796.320000,1227804.430000,102041,2682,0.257304,0.047327,86410,85160,915,48258.340000,9052.170000,2559.200000,2008,259,94791,86122,0.985534,4932380.720000,25 May,0.967443
2026-06-01,4905021.170000,57784.270000,4847236.900000,1376959.520000,99792,2679,0.284071,0.011781,84441,83100,981,48761.010000,9758.420000,2596.800000,2008,237,91266,82372,0.984119,5016600.450000,01 Jun,0.966239
2026-06-08,4911891.690000,65498.430000,4846393.260000,1370203.550000,99819,2685,0.282726,0.013335,84849,83245,1179,59250.240000,9539.770000,2825.700000,2008,341,92570,83026,0.981096,5004581.590000,08 Jun,0.968391
2026-06-15,5033782.230000,170358.640000,4863423.590000,1308322.330000,102534,2666,0.269013,0.033843,86719,85216,1104,51759.940000,8274.040000,2530.600000,2008,268,95251,85585,0.982668,5035170.780000,15 Jun,0.965890
2026-06-22,5238922.540000,330979.020000,4907943.520000,1206906.300000,106285,2676,0.245909,0.063177,89876,88268,1179,60116.870000,13040.330000,3165.100000,2008,362,98974,89159,0.982109,5069270.470000,22 Jun,0.968176
2026-06-29,5279933.650000,326352.920000,4953580.730000,1224389.120000,107350,2684,0.247173,0.061810,90423,89171,924,48224.490000,10865.210000,2440.300000,2008,305,98855,89335,0.986154,5127116.980000,29 Jun,0.966153
2026-07-06,5073358.430000,147613.010000,4925745.420000,1344113.800000,102751,2677,0.272875,0.029096,86660,85173,1069,53931.670000,12628.860000,3034.000000,2008,302,93711,84645,0.982841,5100578.250000,06 Jul,0.965723
2026-07-13,5094791.040000,141039.810000,4953751.230000,1355777.140000,103318,2669,0.273687,0.027683,87293,85855,1063,55859.120000,12549.590000,2839.400000,2008,302,95023,85888,0.983527,5114504.860000,13 Jul,0.968569
2026-07-20,5167512.250000,140914.120000,5026598.130000,1374835.130000,104948,2682,0.273512,0.027269,87658,87172,359,18526.730000,4411.580000,1010.700000,2008,168,95136,87508,0.994456,5196806.410000,20 Jul,0.967248
2026-07-27,5389753.950000,338278.370000,5051475.580000,1247834.550000,109421,2672,0.247024,0.062763,91555,90891,480,24345.150000,5631.130000,1375.600000,2008,199,99877,91847,0.992748,5233323.320000,27 Jul,0.965252
2026-08-03,4915536.410000,27714.370000,4887822.040000,1410752.550000,100232,2679,0.288626,0.005638,84773,83930,620,32569.700000,7592.810000,1917.500000,2008,249,90020,82281,0.990056,5034454.270000,03 Aug,0.970874
2026-08-10,4984991.700000,34812.970000,4950178.730000,1421377.390000,101585,2682,0.287137,0.006984,85330,84877,323,16919.320000,4554.690000,1111.200000,2008,231,91872,85120,0.994691,5100616.570000,10 Aug,0.970506
2026-08-17,5001929.830000,30553.980000,4971375.850000,1431187.840000,101978,2686,0.287886,0.006108,85538,85328,159,8106.290000,2169.080000,571.200000,2008,95,91929,85802,0.997545,5138472.190000,17 Aug,0.967481
