SalesRecordID,WeekStartDate,StoreID,ProductID,SupplierID,RecordType,Units,ListUnitPrice,DiscountRate,GrossSales,DiscountAmount,NetSales,UnitCost,CostOfGoodsSold,GrossProfit,PromotionName,BasketCount
SL000001,2026-02-23,ST001,PR001,SUP001,Sale,91,84.8,0.0819,7716.8,631.73,7085.07,64.08,5831.28,1253.79,Month-end Essentials,49
SL000002,2026-02-23,ST001,PR002,SUP001,Sale,46,43.64,0.0837,2007.44,167.94,1839.5,30.98,1425.08,414.42,Month-end Essentials,25
SL000003,2026-02-23,ST001,PR003,SUP001,Sale,34,49.44,0.0896,1680.96,150.7,1530.26,35.48,1206.32,323.94,Month-end Essentials,24
SL000004,2026-02-23,ST001,PR004,SUP008,Sale,73,70.43,0.0995,5141.39,511.66,4629.73,53.2,3883.6,746.13,Month-end Essentials,43
SL000005,2026-02-23,ST001,PR005,SUP008,Sale,34,54.46,0.1094,1851.64,202.52,1649.12,39.15,1331.1,318.02,Month-end Essentials,22
SL000006,2026-02-23,ST001,PR006,SUP012,Sale,32,95.69,0.094,3062.08,287.92,2774.16,76.75,2456.0,318.16,Month-end Essentials,19
SL000007,2026-02-23,ST001,PR007,SUP012,Sale,40,19.41,0.0884,776.4,68.65,707.75,12.68,507.2,200.55,Month-end Essentials,25
SL000008,2026-02-23,ST001,PR008,SUP012,Sale,39,17.89,0.0596,697.71,41.59,656.12,12.46,485.94,170.18,Month-end Essentials,24
SL000009,2026-02-23,ST001,PR009,SUP011,Sale,60,73.66,0.0999,4419.6,441.33,3978.27,54.0,3240.0,738.27,Month-end Essentials,46
SL000010,2026-02-23,ST001,PR010,SUP012,Sale,38,24.39,0.0977,926.82,90.54,836.28,16.29,619.02,217.26,Month-end Essentials,20
SL000011,2026-02-23,ST001,PR011,SUP012,Sale,39,25.34,0.0889,988.26,87.81,900.45,16.86,657.54,242.91,Month-end Essentials,21
SL000012,2026-02-23,ST001,PR012,SUP011,Sale,21,38.41,0.0911,806.61,73.51,733.1,24.28,509.88,223.22,Month-end Essentials,12
SL000013,2026-02-23,ST001,PR013,SUP011,Sale,46,39.78,0.0939,1829.88,171.9,1657.98,27.35,1258.1,399.88,Month-end Essentials,28
