InventoryRecordID,WeekStartDate,StoreID,ProductID,SupplierID,OpeningUnits,OrderedUnits,ReceivedUnits,ExpectedDemandUnits,FulfilledDemandUnits,ClosingUnits,DaysCover,AvailabilityRate,StockoutHours,EstimatedLostUnits,EstimatedLostSales,EstimatedLostGrossProfit,LateDeliveryDays
IN000001,2026-02-23,ST001,PR001,SUP001,54,65,58,91,91,21,1.6,1.0,0.0,0,0.0,0.0,0
IN000002,2026-02-23,ST001,PR002,SUP001,29,31,28,46,46,11,1.7,1.0,0.0,0,0.0,0.0,0
IN000003,2026-02-23,ST001,PR004,SUP008,32,64,51,73,73,10,1.0,1.0,0.0,0,0.0,0.0,1
IN000004,2026-02-23,ST001,PR006,SUP012,21,21,20,32,32,9,2.0,1.0,0.0,0,0.0,0.0,0
IN000005,2026-02-23,ST001,PR007,SUP012,19,33,32,40,40,11,1.9,1.0,0.0,0,0.0,0.0,0
IN000006,2026-02-23,ST001,PR008,SUP012,26,25,24,39,39,11,2.0,1.0,0.0,0,0.0,0.0,0
IN000007,2026-02-23,ST001,PR009,SUP011,45,34,30,60,60,15,1.8,1.0,0.0,0,0.0,0.0,0
IN000008,2026-02-23,ST001,PR010,SUP012,22,28,27,38,38,11,2.0,1.0,0.0,0,0.0,0.0,0
IN000009,2026-02-23,ST001,PR011,SUP012,33,18,18,39,39,12,2.2,1.0,0.0,0,0.0,0.0,0
IN000010,2026-02-23,ST001,PR013,SUP011,39,21,19,46,46,12,1.8,1.0,0.0,0,0.0,0.0,0
IN000011,2026-02-23,ST001,PR014,SUP008,25,29,23,41,41,7,1.2,1.0,0.0,0,0.0,0.0,1
IN000012,2026-02-23,ST001,PR015,SUP002,47,70,68,89,89,26,2.0,1.0,0.0,0,0.0,0.0,0
IN000013,2026-02-23,ST001,PR016,SUP002,35,37,35,55,55,15,1.9,1.0,0.0,0,0.0,0.0,0
IN000014,2026-02-23,ST001,PR017,SUP002,23,39,36,47,47,12,1.8,1.0,0.0,0,0.0,0.0,0
IN000015,2026-02-23,ST001,PR018,SUP002,34,16,16,38,38,12,2.2,1.0,0.0,0,0.0,0.0,0
IN000016,2026-02-23,ST001,PR019,SUP002,20,17,15,28,28,7,1.8,1.0,0.0,0,0.0,0.0,0
IN000017,2026-02-23,ST001,PR020,SUP007,41,28,27,53,53,15,2.0,1.0,0.0,0,0.0,0.0,0
IN000018,2026-02-23,ST001,PR021,SUP007,30,38,34,52,52,12,1.6,1.0,0.0,0,0.0,0.0,0
IN000019,2026-02-23,ST001,PR022,SUP002,18,30,28,37,37,9,1.7,1.0,0.0,0,0.0,0.0,0
IN000020,2026-02-23,ST001,PR023,SUP007,16,26,25,32,32,9,2.0,1.0,0.0,0,0.0,0.0,0
IN000021,2026-02-23,ST001,PR026,SUP002,16,14,13,23,23,6,1.8,1.0,0.0,0,0.0,0.0,0
IN000022,2026-02-23,ST001,PR027,SUP006,24,26,25,38,38,11,2.0,1.0,0.0,0,0.0,0.0,0
IN000023,2026-02-23,ST001,PR028,SUP006,22,25,24,36,36,10,1.9,1.0,0.0,0,0.0,0.0,0
IN000024,2026-02-23,ST001,PR029,SUP006,19,19,18,29,29,8,1.9,1.0,0.0,0,0.0,0.0,0
IN000025,2026-02-23,ST001,PR031,SUP006,35,24,23,45,45,13,2.0,1.0,0.0,0,0.0,0.0,0
IN000026,2026-02-23,ST001,PR032,SUP006,18,29,27,36,36,9,1.7,1.0,0.0,0,0.0,0.0,0
IN000027,2026-02-23,ST001,PR035,SUP006,28,14,13,32,32,9,2.0,1.0,0.0,0,0.0,0.0,0
IN000028,2026-02-23,ST001,PR038,SUP004,18,30,29,37,37,10,1.9,1.0,0.0,0,0.0,0.0,0
IN000029,2026-02-23,ST001,PR039,SUP004,29,23,23,40,40,12,2.1,1.0,0.0,0,0.0,0.0,0
IN000030,2026-02-23,ST001,PR040,SUP010,21,22,14,33,33,2,0.4,1.0,0.0,0,0.0,0.0,3
IN000031,2026-02-23,ST001,PR041,SUP010,22,15,10,28,28,4,1.0,1.0,0.0,0,0.0,0.0,3
IN000032,2026-02-23,ST001,PR042,SUP004,15,18,16,25,25,6,1.7,1.0,0.0,0,0.0,0.0,0
IN000033,2026-02-23,ST001,PR043,SUP010,15,16,10,24,24,1,0.3,1.0,0.0,0,0.0,0.0,3
IN000034,2026-02-23,ST001,PR047,SUP004,18,20,19,29,29,8,1.9,1.0,0.0,0,0.0,0.0,0
IN000035,2026-02-23,ST001,PR050,SUP004,20,13,12,25,25,7,2.0,1.0,0.0,0,0.0,0.0,0
IN000036,2026-02-23,ST001,PR051,SUP005,26,19,18,34,34,10,2.1,1.0,0.0,0,0.0,0.0,0
IN000037,2026-02-23,ST001,PR052,SUP005,13,13,12,20,20,5,1.8,1.0,0.0,0,0.0,0.0,0
IN000038,2026-02-23,ST001,PR053,SUP005,16,12,11,21,21,6,2.0,1.0,0.0,0,0.0,0.0,0
IN000039,2026-02-23,ST001,PR054,SUP011,18,11,10,22,22,6,1.9,1.0,0.0,0,0.0,0.0,0
IN000040,2026-02-23,ST001,PR055,SUP011,16,12,11,21,21,6,2.0,1.0,0.0,0,0.0,0.0,0
IN000041,2026-02-23,ST001,PR056,SUP005,11,19,18,23,23,6,1.8,1.0,0.0,0,0.0,0.0,0
IN000042,2026-02-23,ST001,PR057,SUP005,21,13,12,26,26,7,1.9,1.0,0.0,0,0.0,0.0,0
IN000043,2026-02-23,ST001,PR059,SUP005,10,15,13,19,19,4,1.5,1.0,0.0,0,0.0,0.0,0
IN000044,2026-02-23,ST001,PR062,SUP003,26,29,28,42,42,12,2.0,1.0,0.0,0,0.0,0.0,0
IN000045,2026-02-23,ST001,PR063,SUP003,48,31,29,60,60,17,2.0,1.0,0.0,0,0.0,0.0,0
IN000046,2026-02-23,ST001,PR064,SUP009,24,17,17,31,31,10,2.3,1.0,0.0,0,0.0,0.0,0
IN000047,2026-02-23,ST001,PR065,SUP009,36,37,36,56,56,16,2.0,1.0,0.0,0,0.0,0.0,0
IN000048,2026-02-23,ST001,PR066,SUP009,30,33,31,48,48,13,1.9,1.0,0.0,0,0.0,0.0,0
IN000049,2026-02-23,ST001,PR067,SUP009,17,30,29,36,36,10,1.9,1.0,0.0,0,0.0,0.0,0
IN000050,2026-02-23,ST001,PR068,SUP011,29,26,23,42,42,10,1.7,1.0,0.0,0,0.0,0.0,0
IN000051,2026-02-23,ST001,PR069,SUP011,14,28,25,32,32,7,1.5,1.0,0.0,0,0.0,0.0,0
IN000052,2026-02-23,ST001,PR071,SUP011,20,18,16,29,29,7,1.7,1.0,0.0,0,0.0,0.0,0
IN000053,2026-02-23,ST001,PR072,SUP011,21,20,18,31,31,8,1.8,1.0,0.0,0,0.0,0.0,0
IN000054,2026-02-23,ST001,PR073,SUP003,17,16,14,25,25,6,1.7,1.0,0.0,0,0.0,0.0,0
IN000055,2026-02-23,ST001,PR076,SUP011,18,15,13,25,25,6,1.7,1.0,0.0,0,0.0,0.0,0
IN000056,2026-02-23,ST001,PR077,SUP011,17,22,19,30,30,6,1.4,1.0,0.0,0,0.0,0.0,0
IN000057,2026-02-23,ST002,PR001,SUP001,94,60,58,110,110,42,2.7,1.0,0.0,0,0.0,0.0,0
IN000058,2026-02-23,ST002,PR002,SUP001,42,42,39,60,60,21,2.5,1.0,0.0,0,0.0,0.0,0
IN000059,2026-02-23,ST002,PR004,SUP008,80,56,50,97,97,33,2.4,1.0,0.0,0,0.0,0.0,0
IN000060,2026-02-23,ST002,PR006,SUP012,45,80,77,89,89,33,2.6,1.0,0.0,0,0.0,0.0,0
IN000061,2026-02-23,ST002,PR007,SUP012,30,44,42,53,53,19,2.5,1.0,0.0,0,0.0,0.0,0
IN000062,2026-02-23,ST002,PR008,SUP012,36,51,50,62,62,24,2.7,1.0,0.0,0,0.0,0.0,0
IN000063,2026-02-23,ST002,PR009,SUP011,63,52,47,82,82,28,2.4,1.0,0.0,0,0.0,0.0,0
IN000064,2026-02-23,ST002,PR010,SUP012,75,59,55,96,96,34,2.5,1.0,0.0,0,0.0,0.0,0
IN000065,2026-02-23,ST002,PR011,SUP012,49,41,40,64,64,25,2.7,1.0,0.0,0,0.0,0.0,0
IN000066,2026-02-23,ST002,PR013,SUP011,45,53,48,70,70,23,2.3,1.0,0.0,0,0.0,0.0,0
IN000067,2026-02-23,ST002,PR014,SUP008,37,50,46,62,62,21,2.4,1.0,0.0,0,0.0,0.0,0
IN000068,2026-02-23,ST002,PR015,SUP002,142,85,81,162,162,61,2.6,1.0,0.0,0,0.0,0.0,0
IN000069,2026-02-23,ST002,PR016,SUP002,63,45,40,77,77,26,2.4,1.0,0.0,0,0.0,0.0,0
IN000070,2026-02-23,ST002,PR017,SUP002,58,33,30,65,65,23,2.5,1.0,0.0,0,0.0,0.0,0
IN000071,2026-02-23,ST002,PR018,SUP002,59,39,34,70,70,23,2.3,1.0,0.0,0,0.0,0.0,0
IN000072,2026-02-23,ST002,PR019,SUP002,30,23,20,38,38,12,2.2,1.0,0.0,0,0.0,0.0,0
IN000073,2026-02-23,ST002,PR020,SUP007,55,33,32,63,63,24,2.7,1.0,0.0,0,0.0,0.0,0
IN000074,2026-02-23,ST002,PR021,SUP007,53,34,31,62,62,22,2.5,1.0,0.0,0,0.0,0.0,0
IN000075,2026-02-23,ST002,PR022,SUP002,27,37,33,46,46,14,2.1,1.0,0.0,0,0.0,0.0,0
IN000076,2026-02-23,ST002,PR023,SUP007,24,46,40,50,50,14,2.0,1.0,0.0,0,0.0,0.0,0
IN000077,2026-02-23,ST002,PR026,SUP002,24,36,33,43,43,14,2.3,1.0,0.0,0,0.0,0.0,0
IN000078,2026-02-23,ST002,PR027,SUP006,71,55,51,90,90,32,2.5,1.0,0.0,0,0.0,0.0,0
IN000079,2026-02-23,ST002,PR028,SUP006,48,33,31,58,58,21,2.5,1.0,0.0,0,0.0,0.0,0
IN000080,2026-02-23,ST002,PR029,SUP006,48,30,28,56,56,20,2.5,1.0,0.0,0,0.0,0.0,0
IN000081,2026-02-23,ST002,PR031,SUP006,41,36,33,55,55,19,2.4,1.0,0.0,0,0.0,0.0,0
IN000082,2026-02-23,ST002,PR032,SUP006,31,43,40,53,53,18,2.4,1.0,0.0,0,0.0,0.0,0
IN000083,2026-02-23,ST002,PR035,SUP006,49,35,33,60,60,22,2.6,1.0,0.0,0,0.0,0.0,0
IN000084,2026-02-23,ST002,PR038,SUP004,28,36,32,46,46,14,2.1,1.0,0.0,0,0.0,0.0,0
IN000085,2026-02-23,ST002,PR039,SUP004,52,36,32,63,63,21,2.3,1.0,0.0,0,0.0,0.0,0
IN000086,2026-02-23,ST002,PR040,SUP010,20,43,39,45,45,14,2.2,1.0,0.0,0,0.0,0.0,0
IN000087,2026-02-23,ST002,PR041,SUP010,27,54,50,58,58,19,2.3,1.0,0.0,0,0.0,0.0,0
IN000088,2026-02-23,ST002,PR042,SUP004,31,18,16,35,35,12,2.4,1.0,0.0,0,0.0,0.0,0
IN000089,2026-02-23,ST002,PR043,SUP010,36,49,45,61,61,20,2.3,1.0,0.0,0,0.0,0.0,0
IN000090,2026-02-23,ST002,PR047,SUP004,29,20,18,35,35,12,2.4,1.0,0.0,0,0.0,0.0,0
IN000091,2026-02-23,ST002,PR050,SUP004,36,41,37,55,55,18,2.3,1.0,0.0,0,0.0,0.0,0
IN000092,2026-02-23,ST002,PR051,SUP005,25,23,21,34,34,12,2.5,1.0,0.0,0,0.0,0.0,0
