TargetID,WeekStartDate,StoreID,NetSalesTarget,GrossMarginTarget,AvailabilityTarget,SupplierFillRateTarget,OnTimeDeliveryTarget
TG00001,2026-02-23,ST001,122718.81,0.29,0.94,0.95,0.93
TG00002,2026-02-23,ST002,196877.05,0.29,0.94,0.95,0.93
TG00003,2026-02-23,ST003,148070.64,0.29,0.94,0.95,0.93
TG00004,2026-02-23,ST004,116906.51,0.29,0.94,0.95,0.93
TG00005,2026-02-23,ST005,213867.11,0.29,0.94,0.95,0.93
TG00006,2026-02-23,ST006,164701.05,0.29,0.94,0.95,0.93
TG00007,2026-02-23,ST007,166142.61,0.29,0.94,0.95,0.93
TG00008,2026-02-23,ST008,206009.16,0.29,0.94,0.95,0.93
TG00009,2026-02-23,ST009,138648.5,0.29,0.94,0.95,0.93
TG00010,2026-02-23,ST010,105546.39,0.29,0.94,0.95,0.93
TG00011,2026-02-23,ST011,142111.54,0.29,0.94,0.95,0.93
TG00012,2026-02-23,ST012,142509.45,0.29,0.94,0.95,0.93
TG00013,2026-02-23,ST013,153370.47,0.29,0.94,0.95,0.93
TG00014,2026-02-23,ST014,86292.61,0.29,0.94,0.95,0.93
TG00015,2026-02-23,ST015,150554.85,0.29,0.94,0.95,0.93
TG00016,2026-02-23,ST016,159304.86,0.29,0.94,0.95,0.93
TG00017,2026-02-23,ST017,82543.02,0.29,0.94,0.95,0.93
TG00018,2026-02-23,ST018,131083.43,0.29,0.94,0.95,0.93
TG00019,2026-02-23,ST019,187406.15,0.29,0.94,0.95,0.93
TG00020,2026-02-23,ST020,109055.94,0.29,0.94,0.95,0.93
TG00021,2026-02-23,ST021,155777.0,0.29,0.94,0.95,0.93
TG00022,2026-02-23,ST022,101564.38,0.29,0.94,0.95,0.93
TG00023,2026-02-23,ST023,154967.98,0.29,0.94,0.95,0.93
TG00024,2026-02-23,ST024,103340.99,0.29,0.94,0.95,0.93
TG00025,2026-02-23,ST025,95497.17,0.29,0.94,0.95,0.93
TG00026,2026-02-23,ST026,125801.63,0.29,0.94,0.95,0.93
TG00027,2026-02-23,ST027,139000.66,0.29,0.94,0.95,0.93
TG00028,2026-02-23,ST028,71937.03,0.29,0.94,0.95,0.93
TG00029,2026-02-23,ST029,118945.91,0.29,0.94,0.95,0.93
