SalesRecordID,WeekStartDate,StoreID,ProductID,SupplierID,RecordType,Units,ListUnitPrice,DiscountRate,GrossSales,DiscountAmount,NetSales,UnitCost,CostOfGoodsSold,GrossProfit,PromotionName,BasketCount
SL003668,2026-03-02,ST903,PR027,SUP006,Sale,33,44.61,0.0,1472.13,0.0,1472.13,30.88,1019.04,453.09,No promotion,28
SL009518,2026-03-16,ST021,PR909,SUP012,Sale,67,95.69,0.0,6411.23,0.0,6411.23,76.29,5111.43,1299.8,No promotion,39
SL011589,2026-03-23,ST902,PR001,SUP001,Sale,94,84.8,0.0887,7971.2,706.94,7264.26,62.67,5890.98,1373.28,Month-end Essentials,57
SL011622,2026-03-23,ST918,PR034,SUP003,Sale,26,73.4,0.0725,1908.4,138.32,1770.08,49.4,1284.4,485.68,Month-end Essentials,19
SL012197,2026-03-23,ST901,PR014,SUP008,Sale,51,29.98,0.0818,1528.98,125.06,1403.92,21.39,1090.89,313.03,Month-end Essentials,28
SL015099,2026-03-30,ST907,PR015,SUP002,Sale,85,37.4,0.1369,3179.0,435.36,2743.64,28.8,2448.0,295.64,Easter Basket,71
SL016582,2026-04-06,ST008,PR908,SUP008,Sale,56,70.43,0.0,3944.08,0.0,3944.08,54.48,3050.88,893.2,No promotion,47
SL019893,2026-04-13,ST016,PR910,SUP011,Sale,27,44.32,0.0,1196.64,0.0,1196.64,27.83,751.41,445.23,No promotion,18
SL020649,2026-04-13,ST026,PR906,SUP009,Sale,41,43.97,0.039,1802.77,70.25,1732.52,29.96,1228.36,504.16,Store Manager Markdown,23
SL022210,2026-04-20,ST900,PR067,SUP009,Sale,29,32.29,0.0,936.41,0.0,936.41,22.2,643.8,292.61,No promotion,16
SL031791,2026-05-11,ST032,PR903,SUP009,Sale,42,43.97,0.0622,1846.74,114.9,1731.84,30.36,1275.12,456.72,Store Manager Markdown,23
SL035627,2026-05-25,ST908,PR047,SUP004,Sale,29,49.13,0.1051,1424.77,149.81,1274.96,31.91,925.39,349.57,Store Manager Markdown,16
SL041053,2026-06-08,ST904,PR033,SUP003,Sale,23,61.87,0.0,1423.01,0.0,1423.01,39.72,913.56,509.45,No promotion,17
SL042762,2026-06-08,ST036,PR912,SUP007,Sale,13,32.85,0.0,427.05,0.0,427.05,23.87,310.31,116.74,No promotion,10
SL044248,2026-06-15,ST020,PR905,SUP006,Sale,38,37.93,0.0,1441.34,0.0,1441.34,25.14,955.32,486.02,No promotion,33
SL044406,2026-06-15,ST916,PR042,SUP004,Sale,25,75.26,0.0,1881.5,0.0,1881.5,51.72,1293.0,588.5,No promotion,22
SL044507,2026-06-15,ST914,PR071,SUP011,Sale,35,29.82,0.0,1043.7,0.0,1043.7,18.22,637.7,406.0,No promotion,19
SL048337,2026-06-29,ST003,PR907,SUP011,Sale,49,35.81,0.0624,1754.69,109.58,1645.11,22.78,1116.22,528.89,Month-end Essentials,32
SL049964,2026-06-29,ST025,PR902,SUP007,Sale,56,67.54,0.0,3782.24,0.0,3782.24,50.67,2837.52,944.72,No promotion,31
SL051389,2026-07-06,ST008,PR900,SUP006,Sale,73,55.23,0.0,4031.79,0.0,4031.79,38.6,2817.8,1213.99,No promotion,42
SL051641,2026-07-06,ST909,PR062,SUP003,Sale,44,34.8,0.0,1531.2,0.0,1531.2,25.59,1125.96,405.24,No promotion,31
SL059449,2026-07-27,ST910,PR055,SUP011,Sale,53,34.37,0.172,1821.61,313.34,1508.27,21.99,1165.47,342.8,Winter Price Lock,32
SL059809,2026-07-27,ST915,PR047,SUP004,Sale,30,49.13,0.0,1473.9,0.0,1473.9,32.13,963.9,510.0,No promotion,25
SL059924,2026-07-27,ST905,PR018,SUP002,Sale,71,108.97,0.0,7736.87,0.0,7736.87,91.09,6467.39,1269.48,No promotion,44
SL060366,2026-07-27,ST021,PR904,SUP001,Sale,76,43.64,0.0982,3316.64,325.59,2991.05,30.88,2346.88,644.17,Month-end Essentials,40
SL061440,2026-07-27,ST906,PR043,SUP010,Sale,26,28.51,0.0,741.26,0.0,741.26,19.07,495.82,245.44,No promotion,20
SL062295,2026-08-03,ST912,PR010,SUP012,Sale,56,24.39,0.0,1365.84,0.0,1365.84,15.8,884.8,481.04,No promotion,33
SL062432,2026-08-03,ST012,PR911,SUP009,Sale,58,30.07,0.0,1744.06,0.0,1744.06,20.95,1215.1,528.96,No promotion,31
SL063235,2026-08-03,ST911,PR051,SUP005,Sale,43,55.28,0.1061,2377.04,252.2,2124.84,35.24,1515.32,609.52,Store Manager Markdown,32
SL063668,2026-08-03,ST917,PR040,SUP010,Sale,24,39.24,0.0,941.76,0.0,941.76,26.45,634.8,306.96,No promotion,18
SL065220,2026-08-10,ST913,PR017,SUP002,Sale,45,49.25,0.0,2216.25,0.0,2216.25,36.5,1642.5,573.75,No promotion,24
SL066780,2026-08-10,ST035,PR901,SUP002,Sale,61,49.25,0.0919,3004.25,276.19,2728.06,37.05,2260.05,468.01,Store Manager Markdown,39
